      full_name       | course_title 
 Student35 Lastname35 | Course 15
 Student4 Lastname4   | Course 5
 Student4 Lastname4   | Course 18
 Student4 Lastname4   | Course 14
 Student4 Lastname4   | Course 13
 Student4 Lastname4   | Course 12
 Student4 Lastname4   | Course 10
 Student4 Lastname4   | Course 8
 Student4 Lastname4   | Course 7
 Student4 Lastname4   | Course 6
 Student4 Lastname4   | Course 4
 Student4 Lastname4   | Course 2
 Student5 Lastname5   | Course 17
 Student5 Lastname5   | Course 1
 Student5 Lastname5   | Course 7
 Student5 Lastname5   | Course 8
 Student5 Lastname5   | Course 10
 Student5 Lastname5   | Course 6
 Student5 Lastname5   | Course 11
 Student5 Lastname5   | Course 14
 Student5 Lastname5   | Course 15
 Student6 Lastname6   | Course 12
 Student6 Lastname6   | Course 5
 Student6 Lastname6   | Course 7
 Student6 Lastname6   | Course 9
 Student6 Lastname6   | Course 16
 Student7 Lastname7   | Course 18
 Student7 Lastname7   | Course 5
 Student7 Lastname7   | Course 7
 Student7 Lastname7   | Course 12
 Student7 Lastname7   | Course 13
 Student7 Lastname7   | Course 16
 Student7 Lastname7   | Course 17
 Student8 Lastname8   | Course 11
 Student8 Lastname8   | Course 3
 Student8 Lastname8   | Course 4
 Student8 Lastname8   | Course 7
 Student8 Lastname8   | Course 9
 Student8 Lastname8   | Course 15
 Student9 Lastname9   | Course 2
 Student9 Lastname9   | Course 3
 Student9 Lastname9   | Course 13
 Student9 Lastname9   | Course 12
 Student9 Lastname9   | Course 10
 Student9 Lastname9   | Course 9
 Student9 Lastname9   | Course 6
 Student9 Lastname9   | Course 5
 Student9 Lastname9   | Course 4
(246 rows)

     full_name      | course_title 
--------------------+--------------
 Instructor1 Teach1 | Course 1
 Instructor1 Teach1 | Course 2
 Instructor1 Teach1 | Course 3
 Instructor1 Teach1 | Course 4
 Instructor1 Teach1 | Course 5
 Instructor1 Teach1 | Course 6
 Instructor1 Teach1 | Course 7
 Instructor1 Teach1 | Course 8
 Instructor1 Teach1 | Course 9
 Instructor1 Teach1 | Course 10
 Instructor1 Teach1 | Course 11
 Instructor1 Teach1 | Course 12
 Instructor1 Teach1 | Course 13
 Instructor1 Teach1 | Course 14
 Instructor1 Teach1 | Course 15
 Instructor1 Teach1 | Course 16
 Instructor1 Teach1 | Course 17
 Instructor1 Teach1 | Course 18
(18 rows)

 course_title | lesson_count 
--------------+--------------
 Course 11    |            5
 Course 9     |            5
 Course 15    |            5
 Course 3     |            5
 Course 17    |            5
 Course 5     |            5
 Course 4     |            5
 Course 10    |            5
 Course 6     |            5
 Course 14    |            5
 Course 13    |            5
 Course 2     |            5
 Course 16    |            5
 Course 7     |            5
 Course 12    |            5
 Course 1     |            5
 Course 18    |            5
 Course 8     |            5
(18 rows)

 course_title | assignment_count 
--------------+------------------
 Course 11    |                4
 Course 9     |                4
 Course 15    |                4
 Course 3     |                4
 Course 17    |                4
 Course 5     |                4
 Course 4     |                4
 Course 10    |                4
 Course 6     |                4
 Course 14    |                4
 Course 13    |                4
 Course 2     |                4
 Course 16    |                4
 Course 7     |                4
 Course 12    |                4
 Course 1     |                4
 Course 18    |                4
 Course 8     |                4
(18 rows)

